label,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
CWS,42.561874,15.739974,9.96767,0.0,224.59547,1663.9678,39.40325,9449.135,234.11327,0.0,441.60098,3048.562,43.47498,696.0579,766.789,106.000046,650.4894,126.49097,203.13261,289.31287,48.874302,89.14554,48.874153,0.027346624,0.05325281,0.027346332,59.322327,17905.402,355.93488,11.906218,1.7060022,-0.0045715524,3.4274929,2.296885,7.427547,3.7059996,8.560812,0.039736044,0.00012895298,0.061640885,0.039650433,0.16510169,0.09637546,0.1985438,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,121.2814,86.67117,0.0022875748,8.0
Emotet,41.561874,15.739974,10.54839,0.0,225.6971,1648.9678,39.984554,9282.135,230.0401,0.0,225.60104,3127.562,43.47498,683.9421,811.789,104.000046,635.4894,127.49097,199.13261,274.31287,49.874306,90.14554,49.874153,0.027964931,0.053885568,0.02796464,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.10357176,0.054246854,0.1403398,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Emotet,40.561874,15.739974,9.658147,0.0,217.65381,1536.9678,38.169918,8748.135,221.9968,0.0,231.60098,2946.562,42.47498,677.0579,717.789,99.000046,594.4894,114.49097,178.13261,239.31287,48.874302,88.14554,48.874153,0.029900908,0.057325643,0.029900616,2.322324,657.5981,13.93486,0.706217,0.70600224,-0.0045715524,1.4274927,1.296885,5.427547,2.7059999,6.5608125,0.018671742,0.00012895298,0.030931178,0.018586133,0.12796201,0.0786371,0.16473006,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Scar,40.561874,15.739974,9.808146,0.0,218.12881,1549.9678,38.49492,8767.135,222.4718,0.0,232.60098,2965.562,42.47498,680.0579,701.789,99.000046,594.4894,117.49097,181.13261,239.31287,48.874302,88.14554,48.874153,0.029740285,0.057031736,0.029739993,2.322324,657.5981,13.93486,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.10601079,0.055466373,0.14399835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Maze,44.561874,16.739973,9.453601,0.0,212.70154,1716.9678,38.842648,9347.135,217.04453,0.0,242.60098,3134.562,46.47498,677.0579,760.789,110.000046,641.4894,130.49097,196.13261,277.31287,47.874302,91.14554,47.874153,0.025737217,0.052503604,0.025736924,2.322324,657.5981,13.93486,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.09691987,0.050920915,0.13036199,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Transponder,41.561874,15.739974,10.011806,0.0,226.38002,1626.9678,39.447968,9311.135,236.07181,0.0,437.60098,3008.562,42.47498,687.0579,756.789,104.000046,644.4894,123.49097,202.13261,281.31287,46.874306,86.14554,46.874153,0.027069112,0.053175494,0.027068822,61.322323,18417.402,367.93488,12.306218,-0.29399785,-0.0045715524,1.4274927,0.296885,5.427547,1.7059996,6.5608125,-0.005718501,0.00012895298,0.017849308,-0.0058041126,0.12796201,0.054246854,0.16473006,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
180solutions,47.438126,17.739973,9.158147,0.0,204.78297,1769.9678,36.75742,9766.135,217.48918,0.0,309.60098,3186.562,47.47498,712.0579,821.789,113.000046,656.4894,136.49097,290.86737,281.31287,53.874302,99.14554,53.874153,0.028216774,0.055280462,0.028216481,1.3223245,-650.59814,7.934862,0.706217,-0.29399785,-0.0045715524,2.4274926,0.296885,6.427547,1.7059996,8.560812,-0.005718501,0.00012895298,0.048207603,-0.0058041126,0.13101079,0.047133036,0.18149835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Pysa,38.561874,14.739974,10.289725,0.0,227.50775,1523.9678,39.806763,8714.135,231.85075,0.0,213.60104,2947.562,40.47498,662.0579,705.789,95.000046,592.4894,117.49097,177.13261,246.31287,44.874302,82.14554,44.874153,0.027353732,0.053531572,0.02735344,1.3223245,-650.59814,7.934862,0.706217,2.7060022,-0.0045715524,3.4274929,3.296885,7.427547,4.706,8.560812,0.06745223,0.00012895298,0.07971167,0.067366615,0.1767425,0.1274176,0.21351054,137.98082,389.44562,221.19547,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Scar,40.561874,15.739974,9.858147,0.0,219.40381,1553.9678,38.59492,8819.135,229.05385,0.0,216.60104,2968.562,41.47498,675.0579,716.789,98.000046,605.4894,117.49097,179.13261,255.31287,46.874306,85.14554,46.874153,0.02845564,0.05511136,0.028455347,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,1.4274927,0.296885,5.427547,1.7059996,6.5608125,-0.005718501,0.00012895298,0.031540938,-0.0058041126,0.13101079,0.055466373,0.16899835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,86.67117,-0.0022875746,8.0
Refroso,37.561874,14.739974,10.2122,0.0,228.48286,1478.9678,39.651,8536.135,232.82585,0.0,202.60104,2891.562,39.47498,681.9421,681.789,93.000046,586.4894,114.49097,175.13261,237.31287,44.874302,81.14554,44.874153,0.028432945,0.054857284,0.028432654,1.3223245,-650.59814,7.934862,0.706217,3.7060022,-0.0045715524,4.4274926,4.296885,8.427547,5.706,9.560812,0.09184247,0.00012895298,0.10410191,0.091756865,0.20113273,0.15180783,0.2379008,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Shade,43.561874,16.739973,9.460472,0.0,266.0102,1638.9678,37.91876,11440.135,270.3532,0.0,2594.601,3044.562,45.47498,674.0579,740.789,108.000046,608.4894,124.49097,193.13261,270.31287,47.874302,90.14554,47.874153,0.027081966,0.054497134,0.027081674,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.09903404,0.051978,0.13353324,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Transponder,39.561874,14.739974,10.901736,0.0,231.3006,1584.9678,40.36479,9076.135,235.6436,0.0,220.60104,3048.562,41.47498,675.9421,803.789,100.000046,624.4894,121.49097,192.13261,266.31287,48.874302,87.14554,48.874153,0.028513197,0.054160643,0.028512904,1.3223245,-650.59814,7.934862,0.706217,2.7060022,-0.0045715524,3.4274929,3.296885,7.427547,4.706,8.560812,0.06571007,0.00012895298,0.07796951,0.06562446,0.17267746,0.124513984,0.20828407,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
180solutions,42.561874,15.739974,10.253385,0.0,219.45262,1642.9678,38.90325,9232.135,223.79561,0.0,243.60098,3097.562,44.47498,664.0579,812.789,106.000046,632.4894,121.49097,193.13261,268.31287,52.874302,94.14554,52.874153,0.029824324,0.05639084,0.029824032,2.322324,657.5981,13.93486,0.706217,1.7060022,-0.0045715524,2.4274926,2.296885,6.427547,3.7059996,7.5608125,0.039736044,0.00012895298,0.051995482,0.039650433,0.14237443,0.09637546,0.17581654,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
Transponder,42.561874,15.739974,10.681956,0.0,228.95262,1675.9678,39.68897,8473.865,238.57668,0.0,430.601,3114.562,43.47498,661.0579,853.789,105.000046,674.4894,127.49097,170.86739,288.31287,48.874302,89.14554,48.874153,0.026945034,0.05250944,0.026944742,55.322323,17863.402,331.93488,11.106217,-0.29399785,-0.0045715524,1.4274927,0.296885,5.427547,1.7059996,6.5608125,-0.005718501,0.00012895298,0.017268589,-0.0058041126,0.1250584,0.053085417,0.16066502,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Ako,39.561874,14.739974,11.568403,0.0,234.557,1601.9678,40.80069,9203.135,238.90001,0.0,223.60098,3085.5623,41.47498,674.9421,852.789,100.000046,630.4894,121.49097,192.13261,266.31287,47.874302,86.14554,47.874153,0.027602052,0.053013764,0.02760176,1.3223245,-650.59814,7.934862,0.706217,1.7060022,-0.0045715524,2.4274926,2.296885,6.427547,3.7059996,7.5608125,0.043061987,0.00012895298,0.055321425,0.042976376,0.15235224,0.103027344,0.18912031,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,123.2814,86.67117,0.0022875748,8.0
Gator,45.561874,18.739973,9.535924,0.0,210.3177,1730.9678,38.303253,9439.135,214.66069,0.0,252.60104,3122.562,47.47498,725.9421,784.789,112.000046,642.4894,133.49097,207.13261,281.31287,60.874302,105.14554,60.874153,0.03283499,0.05792164,0.0328347,1.3223245,-650.59814,7.934862,1.2937831,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.09489967,0.049910814,0.12733167,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
TIBS,43.561874,16.739973,9.437216,0.0,211.49858,1650.9678,38.197826,9096.135,215.84157,0.0,240.60098,3055.562,45.47498,699.9421,732.789,108.000046,604.4894,124.49097,194.13261,272.31287,48.874302,91.14554,48.874153,0.027465945,0.05468068,0.027465653,1.3223245,656.5981,7.934862,0.706217,2.7060022,-0.0045715524,3.4274929,3.296885,7.427547,4.706,8.560812,0.05949889,0.00012895298,0.07175832,0.05941328,0.15818469,0.11416202,0.18965052,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
Shade,38.561874,14.739974,10.026567,0.0,216.56038,1482.9678,38.727814,7139.865,220.90338,0.0,229.60104,2767.562,39.47498,615.0579,671.789,95.000046,570.4894,108.49097,153.13261,232.31287,48.874302,86.14554,48.874153,0.030879661,0.057764284,0.030879369,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,4.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.11127394,0.058097947,0.1255773,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
180solutions,39.561874,14.739974,10.901736,0.0,230.89035,1583.9678,40.33915,9060.135,235.23334,0.0,219.60098,3045.562,41.47498,668.9421,799.789,100.000046,624.4894,121.49097,194.13261,266.31287,48.874302,87.14554,48.874153,0.028531613,0.05419395,0.028531322,1.3223245,-650.59814,7.934862,0.706217,7.706002,-0.0045715524,8.427493,8.296885,12.427547,9.705999,13.560812,0.16449426,0.00012895298,0.1767537,0.16440865,0.26132992,0.21823232,0.29187068,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Gator,41.561874,15.739974,10.597171,0.0,224.89223,1646.9678,39.935772,9249.135,229.23521,0.0,224.60098,3114.562,43.47498,682.9421,813.789,104.000046,633.4894,127.49097,197.13261,274.31287,48.874302,89.14554,48.874153,0.027414685,0.05337879,0.027414393,1.3223245,-650.59814,7.934862,0.706217,3.7060022,-0.0045715524,4.4274926,4.296885,8.427547,5.706,9.560812,0.083170384,0.00012895298,0.09542982,0.08308478,0.18378857,0.1387997,0.21622057,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
Transponder,42.561874,15.739974,10.848622,0.0,226.61928,1675.9678,39.68897,9534.135,236.18643,0.0,317.60098,3116.562,43.47498,661.0579,865.789,105.000046,674.4894,127.49097,170.86739,288.31287,48.874302,89.14554,48.874153,0.026945034,0.05250944,0.026944742,55.322323,17863.402,331.93488,11.106217,-0.29399785,-0.0045715524,1.4274927,0.296885,5.427547,1.7059996,6.5608125,-0.005718501,0.00012895298,0.017268589,-0.0058041126,0.1250584,0.053085417,0.16066502,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Maze,41.561874,15.739974,10.353269,0.0,224.52637,1654.9678,40.130894,9234.135,228.86935,0.0,227.60098,3097.562,43.47498,660.0579,788.789,104.000046,635.4894,127.49097,196.13261,274.31287,47.874302,88.14554,47.874153,0.026695913,0.052558836,0.02669562,1.3223245,-650.59814,7.934862,0.706217,0.70600224,-0.0045715524,1.4274927,1.296885,5.427547,2.7059999,6.5608125,0.018091023,0.00012895298,0.03035046,0.018005412,0.1250584,0.07689494,0.16066502,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,123.2814,85.67117,0.0022875748,8.0
CWS,41.561874,15.739974,9.8898535,0.0,220.20929,1614.9678,39.155285,9057.135,224.55229,0.0,239.60098,3037.562,43.47498,708.0579,735.789,105.000046,609.4894,120.49097,195.13261,266.31287,47.874302,88.14554,47.874153,0.02790544,0.054820124,0.027905148,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,-0.00012895299,0.0065409346,-0.0058041126,0.10357176,0.054246854,0.1403398,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,86.67117,-0.0022875746,8.0
Zeus,39.561874,14.739974,11.517121,0.0,234.12111,1595.9678,40.646843,9186.135,238.46411,0.0,218.60104,3084.562,41.47498,670.9421,850.789,100.000046,630.4894,121.49097,192.13261,266.31287,47.874302,86.14554,47.874153,0.027708396,0.05320796,0.027708104,1.3223245,-650.59814,7.934862,0.706217,4.706002,-0.0045715524,5.4274926,5.296885,9.427547,6.706,10.560812,0.10791786,0.00012895298,0.1201773,0.107832246,0.21055624,0.16455728,0.24399835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Transponder,42.561874,15.739974,11.181956,0.0,226.23833,1678.9678,39.760395,9518.135,235.79619,0.0,230.60098,3137.562,43.47498,656.0579,894.789,105.000046,680.4894,127.49097,199.13261,286.31287,48.874302,89.14554,48.874153,0.026895637,0.052418,0.026895344,45.322323,195.40192,271.93488,9.106217,8.706002,-0.0045715524,10.427492,9.296885,14.427547,10.706,15.560812,0.1707521,0.00012895298,0.1895375,0.17066649,0.2805206,0.22115263,0.30772385,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Pysa,39.561874,14.739974,10.850454,0.0,230.68521,1581.9678,40.28787,9052.135,235.02821,0.0,216.60104,3049.562,41.47498,666.9421,804.789,100.000046,624.4894,121.49097,191.13261,266.31287,48.874302,87.14554,48.874153,0.028568516,0.05426069,0.028568225,1.3223245,656.5981,7.934862,0.706217,3.7060022,-0.0045715524,4.4274926,4.296885,8.427547,5.706,9.560812,0.087304756,0.00012895298,0.099564195,0.08721914,0.1920573,0.14500125,0.2265565,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,121.2814,85.67117,0.0022875748,8.0
Conti,42.561874,15.739974,10.848622,0.0,222.1431,1648.9678,39.046112,8186.865,226.48608,0.0,247.60098,3129.562,44.47498,659.0579,856.789,106.000046,638.4894,121.49097,193.13261,267.31287,48.874302,90.14554,48.874153,0.027414685,0.0539812,0.027414393,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.10124888,0.053085417,0.1368555,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Scar,44.561874,16.739973,9.430874,0.0,210.70154,1685.9678,38.138103,9259.135,215.04453,0.0,241.60104,3108.562,46.47498,672.0579,757.789,109.000046,640.4894,127.49097,195.13261,275.31287,48.874302,92.14554,48.874153,0.026797365,0.05400392,0.026797073,1.3223245,-650.59814,7.934862,0.706217,2.7060022,-0.0045715524,3.4274929,3.296885,7.427547,4.706,8.560812,0.058111288,0.00012895298,0.07037073,0.058025673,0.15494695,0.111849345,0.18548772,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
Emotet,39.561874,14.739974,9.850454,0.0,220.06984,1502.9678,38.262226,8639.135,229.87706,0.0,204.60098,2914.562,40.47498,663.0579,692.789,96.000046,590.4894,117.49097,178.13261,238.31287,44.874302,82.14554,44.874153,0.027960492,0.05466043,0.0279602,1.3223245,-650.59814,7.934862,0.706217,4.706002,-0.0045715524,6.427493,5.296885,10.427547,6.706,11.560812,0.10791786,0.00012895298,0.14290458,0.107832246,0.23328352,0.16455728,0.26672563,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,120.2814,86.67117,0.0022875748,8.0
CWS,35.561874,13.739974,11.701004,0.0,194.1431,1258.9678,35.59849,6904.1343,198.48608,0.0,164.60098,2057.562,35.47498,430.05795,691.789,88.000046,404.48938,93.49097,103.13261,196.31287,37.874302,72.14554,37.874157,0.027650204,0.056480654,0.027649911,0.32232407,655.598,1.9348619,0.706217,0.70600224,-0.0045715524,1.4274927,1.296885,5.427547,2.7059999,5.5608125,0.022059275,0.00012895298,0.034318715,0.021973666,0.14489967,0.0887997,0.16066502,136.98082,385.44562,219.80453,25.982864,23.152489,114.15216,0.0,115.2814,87.67117,0.0022875748,8.0
Refroso,43.561874,17.739973,10.320937,0.0,221.35904,1737.9678,39.08124,9520.135,225.70203,0.0,235.60098,3014.438,45.47498,698.9421,837.789,109.000046,663.4894,133.49097,198.13261,282.31287,52.874302,95.14554,52.874153,0.02816126,0.053960606,0.028160969,12.322325,766.5981,73.93486,2.506217,2.2939978,-0.0045715524,2.4274926,2.296885,6.427547,3.7059996,7.5608125,0.038725942,0.00012895298,0.037903506,0.03864033,0.13934411,0.094355255,0.17177613,137.98082,389.44562,221.19547,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
Zeus,40.561874,15.739974,9.958147,0.0,221.6288,1588.9678,39.46992,8907.135,225.9718,0.0,216.60104,2999.562,42.47498,676.9421,725.789,102.000046,598.4894,124.49097,192.13261,269.31287,46.874306,86.14554,46.874153,0.02735002,0.05369985,0.027349727,1.3223245,-650.59814,7.934862,0.706217,3.7060022,-0.0045715524,4.4274926,4.296885,8.427547,5.706,9.560812,0.08519059,0.00012895298,0.097450025,0.08510498,0.18782896,0.14183,0.22127108,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,121.2814,86.67117,0.0022875748,8.0
