Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
Spyware-CWS-0a8c052a97b8e5e47cf852bc85448e7e9ae2b1c70b6711e28234d2162a5ade54-6.raw,42.561874,15.739974,9.96767,0.0,224.59547,1663.9678,39.40325,9449.135,234.11327,0.0,441.60098,3048.562,43.47498,696.0579,766.789,106.000046,650.4894,126.49097,203.13261,289.31287,48.874302,89.14554,48.874153,0.027346624,0.05325281,0.027346332,59.322327,17905.402,355.93488,11.906218,1.7060022,-0.0045715524,3.4274929,2.296885,7.427547,3.7059996,8.560812,0.039736044,0.00012895298,0.061640885,0.039650433,0.16510169,0.09637546,0.1985438,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,121.2814,86.67117,0.0022875748,8.0
Trojan-Emotet-1e0a680a547f184a548dd3e2b48bfb94eb485c5a4b3c97131760c97423921d5c-2.raw,41.561874,15.739974,10.54839,0.0,225.6971,1648.9678,39.984554,9282.135,230.0401,0.0,225.60104,3127.562,43.47498,683.9421,811.789,104.000046,635.4894,127.49097,199.13261,274.31287,49.874306,90.14554,49.874153,0.027964931,0.053885568,0.02796464,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.10357176,0.054246854,0.1403398,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Trojan-Emotet-2c2fbbc8655d573a57603308ad98cf9ee7e652a7069dcc8ff54db9ee17ad39a8-8.raw,40.561874,15.739974,9.658147,0.0,217.65381,1536.9678,38.169918,8748.135,221.9968,0.0,231.60098,2946.562,42.47498,677.0579,717.789,99.000046,594.4894,114.49097,178.13261,239.31287,48.874302,88.14554,48.874153,0.029900908,0.057325643,0.029900616,2.322324,657.5981,13.93486,0.706217,0.70600224,-0.0045715524,1.4274927,1.296885,5.427547,2.7059999,6.5608125,0.018671742,0.00012895298,0.030931178,0.018586133,0.12796201,0.0786371,0.16473006,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Trojan-Scar-548260d5ed1dbdb6d3b7d92e180c9724-9.raw,40.561874,15.739974,9.808146,0.0,218.12881,1549.9678,38.49492,8767.135,222.4718,0.0,232.60098,2965.562,42.47498,680.0579,701.789,99.000046,594.4894,117.49097,181.13261,239.31287,48.874302,88.14554,48.874153,0.029740285,0.057031736,0.029739993,2.322324,657.5981,13.93486,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.10601079,0.055466373,0.14399835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Ransomware-Maze-9b88f91cb43eced4ec25a89a4be4acfd076dec1614b4b0f984c325a4fe85eacf-4.raw,44.561874,16.739973,9.453601,0.0,212.70154,1716.9678,38.842648,9347.135,217.04453,0.0,242.60098,3134.562,46.47498,677.0579,760.789,110.000046,641.4894,130.49097,196.13261,277.31287,47.874302,91.14554,47.874153,0.025737217,0.052503604,0.025736924,2.322324,657.5981,13.93486,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.09691987,0.050920915,0.13036199,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Spyware-Transponder-0e54a859d428419d0624985943e67116e5983a8017be9293469978e3432bbde4-7.raw,41.561874,15.739974,10.011806,0.0,226.38002,1626.9678,39.447968,9311.135,236.07181,0.0,437.60098,3008.562,42.47498,687.0579,756.789,104.000046,644.4894,123.49097,202.13261,281.31287,46.874306,86.14554,46.874153,0.027069112,0.053175494,0.027068822,61.322323,18417.402,367.93488,12.306218,-0.29399785,-0.0045715524,1.4274927,0.296885,5.427547,1.7059996,6.5608125,-0.005718501,0.00012895298,0.017849308,-0.0058041126,0.12796201,0.054246854,0.16473006,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Spyware-180solutions-0c9e135166f2e45fc6161f20e15004aca1c00fa8ad5d1c1c05a8aebbaff02ca4-3.raw,47.438126,17.739973,9.158147,0.0,204.78297,1769.9678,36.75742,9766.135,217.48918,0.0,309.60098,3186.562,47.47498,712.0579,821.789,113.000046,656.4894,136.49097,290.86737,281.31287,53.874302,99.14554,53.874153,0.028216774,0.055280462,0.028216481,1.3223245,-650.59814,7.934862,0.706217,-0.29399785,-0.0045715524,2.4274926,0.296885,6.427547,1.7059996,8.560812,-0.005718501,0.00012895298,0.048207603,-0.0058041126,0.13101079,0.047133036,0.18149835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Ransomware-Pysa-557ecfee662f02b2758f99009197684f21fd108a1e8da5c6c211f65fecb24188-6.raw,38.561874,14.739974,10.289725,0.0,227.50775,1523.9678,39.806763,8714.135,231.85075,0.0,213.60104,2947.562,40.47498,662.0579,705.789,95.000046,592.4894,117.49097,177.13261,246.31287,44.874302,82.14554,44.874153,0.027353732,0.053531572,0.02735344,1.3223245,-650.59814,7.934862,0.706217,2.7060022,-0.0045715524,3.4274929,3.296885,7.427547,4.706,8.560812,0.06745223,0.00012895298,0.07971167,0.067366615,0.1767425,0.1274176,0.21351054,137.98082,389.44562,221.19547,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Trojan-Scar-7a7189d1a7940d21e1f242f7404efd5e-10.raw,40.561874,15.739974,9.858147,0.0,219.40381,1553.9678,38.59492,8819.135,229.05385,0.0,216.60104,2968.562,41.47498,675.0579,716.789,98.000046,605.4894,117.49097,179.13261,255.31287,46.874306,85.14554,46.874153,0.02845564,0.05511136,0.028455347,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,1.4274927,0.296885,5.427547,1.7059996,6.5608125,-0.005718501,0.00012895298,0.031540938,-0.0058041126,0.13101079,0.055466373,0.16899835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,86.67117,-0.0022875746,8.0
Trojan-Refroso-57a9f16499f018a154df29251c3f9efa-7.raw,37.561874,14.739974,10.2122,0.0,228.48286,1478.9678,39.651,8536.135,232.82585,0.0,202.60104,2891.562,39.47498,681.9421,681.789,93.000046,586.4894,114.49097,175.13261,237.31287,44.874302,81.14554,44.874153,0.028432945,0.054857284,0.028432654,1.3223245,-650.59814,7.934862,0.706217,3.7060022,-0.0045715524,4.4274926,4.296885,8.427547,5.706,9.560812,0.09184247,0.00012895298,0.10410191,0.091756865,0.20113273,0.15180783,0.2379008,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Ransomware-Shade-614e3029225d2f046ad9f983746180aa33d7a4b7c95139f11e2ed0850923b728-5.raw,43.561874,16.739973,9.460472,0.0,266.0102,1638.9678,37.91876,11440.135,270.3532,0.0,2594.601,3044.562,45.47498,674.0579,740.789,108.000046,608.4894,124.49097,193.13261,270.31287,47.874302,90.14554,47.874153,0.027081966,0.054497134,0.027081674,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.09903404,0.051978,0.13353324,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Spyware-Transponder-0d72bbba1d599d1fa0125e9d4befcabf333739651673385ce0fcbcd0e0f9197f-2.raw,39.561874,14.739974,10.901736,0.0,231.3006,1584.9678,40.36479,9076.135,235.6436,0.0,220.60104,3048.562,41.47498,675.9421,803.789,100.000046,624.4894,121.49097,192.13261,266.31287,48.874302,87.14554,48.874153,0.028513197,0.054160643,0.028512904,1.3223245,-650.59814,7.934862,0.706217,2.7060022,-0.0045715524,3.4274929,3.296885,7.427547,4.706,8.560812,0.06571007,0.00012895298,0.07796951,0.06562446,0.17267746,0.124513984,0.20828407,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Spyware-180solutions-0e39013d7ad8d9747b0cee02ff8ec471edd1dfe2648c0dd9aece1e3ceda55087-2.raw,42.561874,15.739974,10.253385,0.0,219.45262,1642.9678,38.90325,9232.135,223.79561,0.0,243.60098,3097.562,44.47498,664.0579,812.789,106.000046,632.4894,121.49097,193.13261,268.31287,52.874302,94.14554,52.874153,0.029824324,0.05639084,0.029824032,2.322324,657.5981,13.93486,0.706217,1.7060022,-0.0045715524,2.4274926,2.296885,6.427547,3.7059996,7.5608125,0.039736044,0.00012895298,0.051995482,0.039650433,0.14237443,0.09637546,0.17581654,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
Spyware-Transponder-1b8a544207b08cbbfaee8ef1b6fccebddf6a622b60703a66a105198ebd3966b1-2.raw,42.561874,15.739974,10.681956,0.0,228.95262,1675.9678,39.68897,8473.865,238.57668,0.0,430.601,3114.562,43.47498,661.0579,853.789,105.000046,674.4894,127.49097,170.86739,288.31287,48.874302,89.14554,48.874153,0.026945034,0.05250944,0.026944742,55.322323,17863.402,331.93488,11.106217,-0.29399785,-0.0045715524,1.4274927,0.296885,5.427547,1.7059996,6.5608125,-0.005718501,0.00012895298,0.017268589,-0.0058041126,0.1250584,0.053085417,0.16066502,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Ransomware-Ako-0c961a4526b15666ea41bce6cbbd51b59a79f3853126da23a477e3143b1df0a3-1.raw,39.561874,14.739974,11.568403,0.0,234.557,1601.9678,40.80069,9203.135,238.90001,0.0,223.60098,3085.5623,41.47498,674.9421,852.789,100.000046,630.4894,121.49097,192.13261,266.31287,47.874302,86.14554,47.874153,0.027602052,0.053013764,0.02760176,1.3223245,-650.59814,7.934862,0.706217,1.7060022,-0.0045715524,2.4274926,2.296885,6.427547,3.7059996,7.5608125,0.043061987,0.00012895298,0.055321425,0.042976376,0.15235224,0.103027344,0.18912031,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,123.2814,86.67117,0.0022875748,8.0
Spyware-Gator-1b0f8765a9850846c487b9f9da88604371ea3c504e9cfb986edac99394bcfa32-5.raw,45.561874,18.739973,9.535924,0.0,210.3177,1730.9678,38.303253,9439.135,214.66069,0.0,252.60104,3122.562,47.47498,725.9421,784.789,112.000046,642.4894,133.49097,207.13261,281.31287,60.874302,105.14554,60.874153,0.03283499,0.05792164,0.0328347,1.3223245,-650.59814,7.934862,1.2937831,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.09489967,0.049910814,0.12733167,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Spyware-TIBS-db35d6ea4a515aa7d971da6b206d15d15cdf02e74cdc771736b7af9840f07f2f-5.raw,43.561874,16.739973,9.437216,0.0,211.49858,1650.9678,38.197826,9096.135,215.84157,0.0,240.60098,3055.562,45.47498,699.9421,732.789,108.000046,604.4894,124.49097,194.13261,272.31287,48.874302,91.14554,48.874153,0.027465945,0.05468068,0.027465653,1.3223245,656.5981,7.934862,0.706217,2.7060022,-0.0045715524,3.4274929,3.296885,7.427547,4.706,8.560812,0.05949889,0.00012895298,0.07175832,0.05941328,0.15818469,0.11416202,0.18965052,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
Ransomware-Shade-163bb163dad4695902732cb55203d4b7d3dd3079344a8af35f9208d4559a594e-10.raw,38.561874,14.739974,10.026567,0.0,216.56038,1482.9678,38.727814,7139.865,220.90338,0.0,229.60104,2767.562,39.47498,615.0579,671.789,95.000046,570.4894,108.49097,153.13261,232.31287,48.874302,86.14554,48.874153,0.030879661,0.057764284,0.030879369,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,4.5608125,-0.005718501,0.00012895298,0.0065409346,-0.0058041126,0.11127394,0.058097947,0.1255773,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,85.67117,0.0022875748,8.0
Spyware-180solutions-0e291e71016c56c4feecb295d9d210cdad2f7be301ac686cf3501d633aa3f3e8-2.raw,39.561874,14.739974,10.901736,0.0,230.89035,1583.9678,40.33915,9060.135,235.23334,0.0,219.60098,3045.562,41.47498,668.9421,799.789,100.000046,624.4894,121.49097,194.13261,266.31287,48.874302,87.14554,48.874153,0.028531613,0.05419395,0.028531322,1.3223245,-650.59814,7.934862,0.706217,7.706002,-0.0045715524,8.427493,8.296885,12.427547,9.705999,13.560812,0.16449426,0.00012895298,0.1767537,0.16440865,0.26132992,0.21823232,0.29187068,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Spyware-Gator-fe142061ca9feed42486e4542fab7ecd5881cf7dbd4fec4e02493f78771a6e45-2.raw,41.561874,15.739974,10.597171,0.0,224.89223,1646.9678,39.935772,9249.135,229.23521,0.0,224.60098,3114.562,43.47498,682.9421,813.789,104.000046,633.4894,127.49097,197.13261,274.31287,48.874302,89.14554,48.874153,0.027414685,0.05337879,0.027414393,1.3223245,-650.59814,7.934862,0.706217,3.7060022,-0.0045715524,4.4274926,4.296885,8.427547,5.706,9.560812,0.083170384,0.00012895298,0.09542982,0.08308478,0.18378857,0.1387997,0.21622057,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,86.67117,0.0022875748,8.0
Spyware-Transponder-0c9cd2589848a485d5db655e4902fb3dc6fa7f83a25cba5314137b466aee8d4d-2.raw,42.561874,15.739974,10.848622,0.0,226.61928,1675.9678,39.68897,9534.135,236.18643,0.0,317.60098,3116.562,43.47498,661.0579,865.789,105.000046,674.4894,127.49097,170.86739,288.31287,48.874302,89.14554,48.874153,0.026945034,0.05250944,0.026944742,55.322323,17863.402,331.93488,11.106217,-0.29399785,-0.0045715524,1.4274927,0.296885,5.427547,1.7059996,6.5608125,-0.005718501,0.00012895298,0.017268589,-0.0058041126,0.1250584,0.053085417,0.16066502,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Ransomware-Maze-86e6cdecd202345189d3d5ba3b193b0b71bd9ccf08689d542c5c0a3d7a4665b8-3.raw,41.561874,15.739974,10.353269,0.0,224.52637,1654.9678,40.130894,9234.135,228.86935,0.0,227.60098,3097.562,43.47498,660.0579,788.789,104.000046,635.4894,127.49097,196.13261,274.31287,47.874302,88.14554,47.874153,0.026695913,0.052558836,0.02669562,1.3223245,-650.59814,7.934862,0.706217,0.70600224,-0.0045715524,1.4274927,1.296885,5.427547,2.7059999,6.5608125,0.018091023,0.00012895298,0.03035046,0.018005412,0.1250584,0.07689494,0.16066502,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,123.2814,85.67117,0.0022875748,8.0
Spyware-CWS-0bd41bf5cea7118385b63feaf169f8ed99a72ce13a9b34285f6512281259170c-9.raw,41.561874,15.739974,9.8898535,0.0,220.20929,1614.9678,39.155285,9057.135,224.55229,0.0,239.60098,3037.562,43.47498,708.0579,735.789,105.000046,609.4894,120.49097,195.13261,266.31287,47.874302,88.14554,47.874153,0.02790544,0.054820124,0.027905148,1.3223245,656.5981,7.934862,0.706217,-0.29399785,-0.0045715524,0.42749274,0.296885,4.427547,1.7059996,5.5608125,-0.005718501,-0.00012895299,0.0065409346,-0.0058041126,0.10357176,0.054246854,0.1403398,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,119.2814,86.67117,-0.0022875746,8.0
Trojan-Zeus-3cc3123a3c419ec7c2a93c356c752baf42fd2e6e0400a1cd1da990be8eb65a08-1.raw,39.561874,14.739974,11.517121,0.0,234.12111,1595.9678,40.646843,9186.135,238.46411,0.0,218.60104,3084.562,41.47498,670.9421,850.789,100.000046,630.4894,121.49097,192.13261,266.31287,47.874302,86.14554,47.874153,0.027708396,0.05320796,0.027708104,1.3223245,-650.59814,7.934862,0.706217,4.706002,-0.0045715524,5.4274926,5.296885,9.427547,6.706,10.560812,0.10791786,0.00012895298,0.1201773,0.107832246,0.21055624,0.16455728,0.24399835,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Spyware-Transponder-0e935fed1f79f7db015cbd9a336592c436952fd6fc5a30baf47f69c606cf575f-1.raw,42.561874,15.739974,11.181956,0.0,226.23833,1678.9678,39.760395,9518.135,235.79619,0.0,230.60098,3137.562,43.47498,656.0579,894.789,105.000046,680.4894,127.49097,199.13261,286.31287,48.874302,89.14554,48.874153,0.026895637,0.052418,0.026895344,45.322323,195.40192,271.93488,9.106217,8.706002,-0.0045715524,10.427492,9.296885,14.427547,10.706,15.560812,0.1707521,0.00012895298,0.1895375,0.17066649,0.2805206,0.22115263,0.30772385,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,122.2814,85.67117,0.0022875748,8.0
Ransomware-Pysa-2f18bc4b0a6f4d0e30b4cad76732eac10fc7fe23bbdc6e6eeec716fa1a473091-2.raw,39.561874,14.739974,10.850454,0.0,230.68521,1581.9678,40.28787,9052.135,235.02821,0.0,216.60104,3049.562,41.47498,666.9421,804.789,100.000046,624.4894,121.49097,191.13261,266.31287,48.874302,87.14554,48.874153,0.028568516,0.05426069,0.028568225,1.3223245,656.5981,7.934862,0.706217,3.7060022,-0.0045715524,4.4274926,4.296885,8.427547,5.706,9.560812,0.087304756,0.00012895298,0.099564195,0.08721914,0.1920573,0.14500125,0.2265565,137.98082,389.44562,220.80453,25.982864,24.152489,116.15216,0.0,121.2814,85.67117,0.0022875748,8.0
